product_category,product_name,product_price,product_price_unit,product_url,image_url
Thực phẩm tươi sống,"Rau ngót Tiền Giang, 250g","9,000 ₫",/ Gói,https://online.mmvietnam.com/rau-ngot-tien-giang-250g-712576-10-353022.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/5/353022.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Nho xanh Ninh Thuận-VIETGAP (KG),"82,000 ₫",,https://online.mmvietnam.com/nho-xanh-ninh-thuan-vietgap-can-ky-713134-11-208120.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/2/0/208120.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Xoài cát bồ, 400g","39,000 ₫",/ Ký,https://online.mmvietnam.com/xoai-cat-bo-400g-1092522-23-76286.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/7/6/76286.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Mận hậu xuất xứ Việt nam,"25,000 ₫",,https://online.mmvietnam.com/man-hau-xuat-xu-viet-nam-774481-25-251302.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/2/5/251302.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Táo Juliet Organic xuất xứ Pháp,"109,000 ₫",/ Ký,https://online.mmvietnam.com/tao-juliet-organic-xuat-xu-phap-905694-10-232959.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/2/3/232959.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Mít Thái siêu sớm Bến Tre,"19,000 ₫",/ Ký,https://online.mmvietnam.com/mit-giong-thai-14-24-190281.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/9/190281.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Đậu ngự hạt tươi Đà Lạt 250g,"41,600 ₫",/ Gói,https://online.mmvietnam.com/dau-ngu-hat-tuoi-250-20746261-74626.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/7/4/74626.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Bắp non baby An Giang, 200g","14,900 ₫",/ Cái,https://online.mmvietnam.com/bap-non-baby-200g-1114933-10-214961.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/2/1/214961.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,DAU DO HAT TUOI DALAT-250GR,"36,000 ₫",/ Gói,https://online.mmvietnam.com/dau-do-hat-tuoi-goi-250g-712539-10-327254.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/2/327254.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Cà chua Rosebberry Đà Lạt We Are Fresh, 500G","36,000 ₫",/ Hộp,https://online.mmvietnam.com/ca-chua-cherry-roseberry-500g-10-251746.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/2/5/251746.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
